Sat Jan 20 19:25:55 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
224,2024-01-20 19:29:41,226.516,3866,-3110,32,SUCCESS
225,2024-01-20 19:29:42,227.517,3866,-3110,32,SUCCESS
226,2024-01-20 19:29:43,228.526,3866,-3106,23,SUCCESS
227,2024-01-20 19:29:44,229.538,3866,-3106,26,SUCCESS
228,2024-01-20 19:29:45,230.552,3866,-3106,28,SUCCESS
229,2024-01-20 19:29:46,231.552,3866,-3106,26,SUCCESS
230,2024-01-20 19:29:47,232.553,3865,-3106,26,SUCCESS
231,2024-01-20 19:29:48,233.564,3865,-3106,31,SUCCESS
232,2024-01-20 19:29:49,234.578,3865,-3102,33,SUCCESS
233,2024-01-20 19:29:50,235.580,3865,-3102,38,SUCCESS
234,2024-01-20 19:29:51,236.594,3865,-3102,33,SUCCESS
235,2024-01-20 19:29:52,237.595,3865,-3106,31,SUCCESS
236,2024-01-20 19:29:53,238.603,3865,-3102,23,SUCCESS
237,2024-01-20 19:29:54,239.617,3865,-3110,27,SUCCESS
238,2024-01-20 19:29:55,240.632,3865,-3099,27,SUCCESS
239,2024-01-20 19:29:56,241.638,3865,-3102,35,SUCCESS
240,2024-01-20 19:29:57,242.649,3865,-3099,24,SUCCESS
241,2024-01-20 19:29:58,243.651,3865,-3102,21,SUCCESS
242,2024-01-20 19:29:59,244.661,3865,-3099,28,SUCCESS
243,2024-01-20 19:30:00,245.661,3864,-3102,25,SUCCESS
244,2024-01-20 19:30:01,246.675,3864,-3095,34,SUCCESS
245,2024-01-20 19:30:02,247.677,3864,-3099,28,SUCCESS
246,2024-01-20 19:30:03,248.676,3864,-3095,29,SUCCESS
247,2024-01-20 19:30:04,249.690,3864,-3099,30,SUCCESS
248,2024-01-20 19:30:05,250.690,3864,-3095,31,SUCCESS
249,2024-01-20 19:30:06,251.704,3864,-3099,31,SUCCESS
250,2024-01-20 19:30:07,252.715,3864,-3091,37,SUCCESS
251,2024-01-20 19:30:08,253.727,3864,-3099,24,SUCCESS
252,2024-01-20 19:30:09,254.728,3864,-3091,23,SUCCESS
253,2024-01-20 19:30:10,255.740,3864,-3095,29,SUCCESS
254,2024-01-20 19:30:11,256.754,3864,-3091,29,SUCCESS
255,2024-01-20 19:30:12,257.768,3864,-3091,32,SUCCESS
256,2024-01-20 19:30:13,258.783,3864,-3091,23,SUCCESS
257,2024-01-20 19:30:14,259.798,3863,-3095,31,SUCCESS
258,2024-01-20 19:30:15,260.813,3863,-3084,34,SUCCESS
259,2024-01-20 19:30:16,261.828,3863,-3091,33,SUCCESS
260,2024-01-20 19:30:17,262.843,3863,-3088,39,SUCCESS
261,2024-01-20 19:30:19,263.857,3863,-3091,35,SUCCESS
262,2024-01-20 19:30:20,265.241,3863,-3088,26,SUCCESS
263,2024-01-20 19:30:21,265.886,3863,-3088,23,SUCCESS
264,2024-01-20 19:30:22,266.901,3863,-3088,24,SUCCESS
265,2024-01-20 19:30:23,267.915,3863,-3088,24,SUCCESS
266,2024-01-20 19:30:24,269.239,3863,-3088,28,SUCCESS
267,2024-01-20 19:30:25,269.929,3863,-3088,26,SUCCESS
268,2024-01-20 19:30:26,270.943,3862,-3084,27,SUCCESS
269,2024-01-20 19:30:27,271.952,3862,-3088,33,SUCCESS
270,2024-01-20 19:30:28,273.241,3862,-3084,26,SUCCESS
271,2024-01-20 19:30:29,273.981,3862,-3084,35,SUCCESS
272,2024-01-20 19:30:30,274.995,3862,-3084,23,SUCCESS
273,2024-01-20 19:30:31,276.010,3862,-3084,23,SUCCESS
274,2024-01-20 19:30:32,277.257,3862,-3084,26,SUCCESS
275,2024-01-20 19:30:33,278.036,3862,-3084,28,SUCCESS
276,2024-01-20 19:30:34,279.051,3862,-3076,30,SUCCESS
277,2024-01-20 19:30:35,280.064,3862,-3084,30,SUCCESS
278,2024-01-20 19:30:36,281.268,3862,-3084,30,SUCCESS
279,2024-01-20 19:30:37,282.087,3862,-3084,24,SUCCESS
280,2024-01-20 19:30:38,283.103,3862,-3076,24,SUCCESS
281,2024-01-20 19:30:39,284.116,3862,-3076,27,SUCCESS
282,2024-01-20 19:30:40,285.271,3861,-3080,27,SUCCESS
283,2024-01-20 19:30:41,286.142,3861,-3076,31,SUCCESS
284,2024-01-20 19:30:42,287.151,3861,-3080,22,SUCCESS
285,2024-01-20 19:30:43,288.158,3861,-3076,32,SUCCESS
286,2024-01-20 19:30:44,289.291,3861,-3080,24,SUCCESS
287,2024-01-20 19:30:45,290.187,3861,-3073,38,SUCCESS
288,2024-01-20 19:30:46,291.202,3861,-3073,33,SUCCESS
289,2024-01-20 19:30:47,292.215,3861,-3073,36,SUCCESS
290,2024-01-20 19:30:48,293.283,3861,-3076,32,SUCCESS
291,2024-01-20 19:30:49,294.231,3861,-3069,36,SUCCESS
292,2024-01-20 19:30:50,295.245,3861,-3076,22,SUCCESS
293,2024-01-20 19:30:51,296.257,3861,-3069,27,SUCCESS
294,2024-01-20 19:30:52,297.299,3860,-3073,31,SUCCESS
295,2024-01-20 19:30:53,298.259,3861,-3073,22,SUCCESS
296,2024-01-20 19:30:54,299.274,3861,-3073,26,SUCCESS
297,2024-01-20 19:30:55,300.287,3860,-3069,26,SUCCESS
298,2024-01-20 19:30:56,301.315,3860,-3073,32,SUCCESS
299,2024-01-20 19:30:57,302.315,3860,-3069,31,SUCCESS
300,2024-01-20 19:30:58,303.326,3860,-3069,36,SUCCESS
301,2024-01-20 19:30:59,304.336,3860,-3065,27,SUCCESS
302,2024-01-20 19:31:00,305.348,3860,-3073,29,SUCCESS
303,2024-01-20 19:31:01,306.350,3860,-3062,28,SUCCESS
304,2024-01-20 19:31:02,307.360,3860,-3069,33,SUCCESS
305,2024-01-20 19:31:03,308.375,3860,-3065,32,SUCCESS
306,2024-01-20 19:31:04,309.388,3860,-3065,35,SUCCESS
307,2024-01-20 19:31:05,310.404,3860,-3065,35,SUCCESS
308,2024-01-20 19:31:06,311.405,3860,-3069,34,SUCCESS
309,2024-01-20 19:31:07,312.407,3860,-3062,31,SUCCESS
310,2024-01-20 19:31:08,313.408,3859,-3065,30,SUCCESS
311,2024-01-20 19:31:09,314.413,3859,-2738,29,SUCCESS
312,2024-01-20 19:31:10,315.416,3891,-824,25,SUCCESS
313,2024-01-20 19:31:11,316.417,3892,-821,23,SUCCESS
314,2024-01-20 19:31:12,317.432,3892,-824,23,SUCCESS
315,2024-01-20 19:31:13,318.443,3893,-817,30,SUCCESS
316,2024-01-20 19:31:14,319.457,3893,-887,31,SUCCESS
317,2024-01-20 19:31:15,320.457,3882,-1649,30,SUCCESS
318,2024-01-20 19:31:16,321.458,3882,-1652,29,SUCCESS
319,2024-01-20 19:31:17,322.470,3882,-1645,32,SUCCESS
320,2024-01-20 19:31:18,323.470,3882,-1652,31,SUCCESS
321,2024-01-20 19:31:19,324.473,3882,-1645,28,SUCCESS
322,2024-01-20 19:31:20,325.486,3878,-1980,32,SUCCESS
323,2024-01-20 19:31:21,326.501,3877,-1972,33,SUCCESS
324,2024-01-20 19:31:22,327.516,3878,-1980,33,SUCCESS
325,2024-01-20 19:31:23,328.529,3878,-1969,36,SUCCESS
326,2024-01-20 19:31:24,329.530,3878,-1972,33,SUCCESS
327,2024-01-20 19:31:25,330.531,3871,-2576,34,SUCCESS
328,2024-01-20 19:31:26,331.532,3869,-2598,33,SUCCESS
329,2024-01-20 19:31:27,332.533,3869,-2583,31,SUCCESS
330,2024-01-20 19:31:28,333.548,3869,-2576,32,SUCCESS
331,2024-01-20 19:31:29,334.563,3868,-2569,34,SUCCESS
332,2024-01-20 19:31:30,335.573,3866,-3032,25,SUCCESS
333,2024-01-20 19:31:31,336.587,3861,-3110,25,SUCCESS
334,2024-01-20 19:31:32,337.603,3860,-3113,25,SUCCESS
335,2024-01-20 19:31:33,338.605,3860,-3099,21,SUCCESS
336,2024-01-20 19:31:34,339.619,3860,-3102,25,SUCCESS
337,2024-01-20 19:31:35,340.634,3860,-3099,24,SUCCESS
338,2024-01-20 19:31:36,341.648,3860,-3099,24,SUCCESS
339,2024-01-20 19:31:37,342.663,3859,-3088,27,SUCCESS
340,2024-01-20 19:31:38,343.674,3859,-3095,33,SUCCESS
341,2024-01-20 19:31:39,344.676,3859,-3088,29,SUCCESS
342,2024-01-20 19:31:40,345.691,3859,-3088,30,SUCCESS
343,2024-01-20 19:31:41,346.693,3859,-3084,27,SUCCESS
344,2024-01-20 19:31:42,347.707,3859,-3084,29,SUCCESS
345,2024-01-20 19:31:43,348.721,3859,-3080,31,SUCCESS
346,2024-01-20 19:31:44,349.733,3859,-3084,35,SUCCESS
347,2024-01-20 19:31:45,350.744,3859,-3080,24,SUCCESS
348,2024-01-20 19:31:46,351.745,3859,-3080,22,SUCCESS
349,2024-01-20 19:31:47,352.756,3858,-3076,27,SUCCESS
350,2024-01-20 19:31:48,353.768,3858,-3076,31,SUCCESS
351,2024-01-20 19:31:49,354.772,3858,-3073,24,SUCCESS
352,2024-01-20 19:31:50,355.785,3858,-3073,29,SUCCESS
353,2024-01-20 19:31:51,356.799,3858,-3069,32,SUCCESS
354,2024-01-20 19:31:52,357.814,3858,-3073,31,SUCCESS
